3PAV rank,name,shot score,3P%,3PAV,number shots
283,Lance Stephenson,32.0%,33.6%,-0.112,855
284,Brandon Jennings,31.3%,34.0%,-0.114,883
285,Pascal Siakam,32.8%,32.8%,-0.114,1058
286,Chandler Parsons,32.1%,36.8%,-0.116,1072
287,Dwyane Wade,30.6%,32.3%,-0.116,613
288,Andre Iguodala,32.9%,34.4%,-0.116,1326
289,Matt Barnes,32.5%,33.1%,-0.119,1105
290,Thaddeus Young,33.3%,33.5%,-0.124,1043
291,Luol Deng,32.3%,34.1%,-0.129,743
292,Thabo Sefolosha,33.4%,34.7%,-0.13,619
293,Myles Turner,32.4%,36.1%,-0.132,903
294,Kyle Singler,33.2%,37.7%,-0.132,501
295,Derrick Rose,30.6%,32.2%,-0.133,885
296,Monta Ellis,30.9%,32.4%,-0.134,815
297,James Johnson,32.0%,32.7%,-0.136,873
298,Giannis Antetokounmpo,30.9%,31.4%,-0.146,1195
299,Draymond Green,31.7%,32.5%,-0.151,1856
300,Evan Turner,31.9%,29.4%,-0.17,588
301,Dragan Bender,31.2%,33.4%,-0.176,539
302,Justise Winslow,30.7%,33.2%,-0.184,581
303,Elfrid Payton,29.7%,29.4%,-0.202,554
304,Corey Brewer,29.1%,28.5%,-0.248,768
305,Michael Carter-Williams,27.3%,25.5%,-0.269,615
306,Josh Smith,27.3%,29.2%,-0.275,590
